Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
RelicConfig_67822_Name,aJCP,z造物_RelicConfig_A.csv,334,RelicConfig,Name,,<OrangeQuality:「万象门扉α」>,"<OrangeQuality:""Gateway of All Realms α"">",<OrangeQuality:《Врата Тысячи Образов α》>,<OrangeQuality:「Puerta del Infinito α」>,<OrangeQuality:「万象の扉α」>,<OrangeQuality:“만상문α”>,"<OrangeQuality: ""Porte de l'univers α"">",<OrangeQuality:「Mundator-Tür α」>,<OrangeQuality:「Portal dos Mil Aspectos α」>,<OrangeQuality:「ประตูสี่หมื่นโลกα」>,<OrangeQuality:「Pintu Myriade Duniaα」>,<OrangeQuality:「Cánh cửa Muôn Hình α」>
RelicConfig_67822_Desc,aJCO,z造物_RelicConfig_A.csv,334,RelicConfig,Desc,,战斗开始时，算力上限+1，觉醒所有唤醒体。回合开始时，随机发现一个「造物」或「支援」，共发现五次。,"At the start of battle, Arithmetica Limit +1, Rouse all Awakeners. At turn start, randomly discover a ""Relic "" or ""Support"", for a total of five discoveries.","Бой начинается, предел вычислительной мощности +1, пробуждение всех пробуждающих тел. В начале хода случайно обнаружить одно 《создание》 или 《поддержку》, всего обнаружить пять раз.","Al comenzar la batalla, el límite de aritmética +1, despierta a todos los despertadores. Al inicio de cada turno, descubre aleatoriamente una ""reliquia"" o ""apoyo"", por un total de cinco veces",バトル開始時、計算力上限＋1、すべての覚醒体を覚醒。ターン開始時、ランダムで「つくりもの」または「支援」を発見し、合計5回発見する。,"전투 시작 시, 산출력 상한 +1, 모든 웨이크업 바디를 각성. 턴 시작 시, “조물주” 또는 “지원” 중 하나를 무작위로 발견, 총 5번 발견.","Au début du combat, le plafond de l'arithmétique +1, réveillez tous les réveilleurs. Au début du tour, découvrez une « relique » ou « soutien » au hasard, découvrir un total de cinq fois","Zu Beginn des Kampfes erhöht sich das Arithmetica-Limit um 1, alle Erwecker werden erweckt. Zu Beginn der Runde findet zufällig 5 Mal einen ""Relikt"" oder ""Unterstützung""","Ao início da batalha, o limite de aritmética +1, desperte todos os despertadores. No início do turno, descubra aleatoriamente uma「reliquia」ou「apoio」, totalizando cinco descobertas",เมื่อการต่อสู้เริ่มต้น พลังการคำนวณสูงสุด +1 และการตื่นรู้ทั้งหมดของร่างกายที่ตื่นขึ้น เมื่อรอบเริ่มต้น จะได้รับการค้นพบแบบสุ่ม「สิ่งสร้าง」หรือ「การสนับสนุน」 รวมทั้งหมด 5 ครั้ง。,"Pada awal pertempuran, batas aritmetika +1, bangun semua pembangun. Pada awal giliran, temukan secara acak satu 「relik」 atau 「dukungan」, total ditemukan lima kali.","Khi bắt đầu chiến đấu, giới hạn sức tính toán +1, thức tỉnh tất cả thân thể được đánh thức. Khi bắt đầu lượt, ngẫu nhiên phát hiện một 「sáng tạo」 hoặc 「hỗ trợ」, tổng cộng phát hiện năm lần."
RelicConfig_67822_BattleDesc,aJCN,z造物_RelicConfig_A.csv,334,RelicConfig,BattleDesc,,战斗开始时，算力上限+1，觉醒所有唤醒体。回合开始时，随机发现一个「造物」或「支援」，共发现五次。,"At the start of battle, Arithmetica Limit +1, Rouse all Awakeners. At turn start, randomly Discover a ""Relic"" or ""Support"", up to 5 times.","Бой начинается, предел вычислительной мощности +1, пробуждение всех пробуждающих тел. В начале хода случайно обнаружить одно 《создание》 или 《поддержку》, всего обнаружить пять раз.","Al comenzar la batalla, el límite de aritmética +1, despierta a todos los despertadores. Al inicio de cada turno, descubre aleatoriamente una ""reliquia"" o ""apoyo"", por un total de cinco veces",バトル開始時、計算力上限＋1、すべての覚醒体を覚醒。ターン開始時、ランダムで「つくりもの」または「支援」を発見し、合計5回発見する。,"전투 시작 시, 산출력 상한 +1, 모든 웨이크업 바디를 각성. 턴 시작 시, “조물주” 또는 “지원” 중 하나를 무작위로 발견, 총 5번 발견.","Au début du combat, le plafond de l'arithmétique +1, réveillez tous les réveilleurs. Au début du tour, découvrez une « relique » ou « soutien » au hasard, découvrir un total de cinq fois","Zu Beginn des Kampfes erhöht sich das Arithmetica-Limit um 1, alle Erwecker werden erweckt. Zu Beginn der Runde findet zufällig 5 Mal einen ""Relikt"" oder ""Unterstützung""","Ao início da batalha, o limite de aritmética +1, desperte todos os despertadores. No início do turno, descubra aleatoriamente uma「reliquia」ou「apoio」, totalizando cinco descobertas",เมื่อการต่อสู้เริ่มต้น พลังการคำนวณสูงสุด +1 และการตื่นรู้ทั้งหมดของร่างกายที่ตื่นขึ้น เมื่อรอบเริ่มต้น จะได้รับการค้นพบแบบสุ่ม「สิ่งสร้าง」หรือ「การสนับสนุน」 รวมทั้งหมด 5 ครั้ง。,"Pada awal pertempuran, batas aritmetika +1, bangun semua pembangun. Pada awal giliran, temukan secara acak satu 「relik」 atau 「dukungan」, total ditemukan lima kali.","Khi bắt đầu chiến đấu, giới hạn sức tính toán +1, thức tỉnh tất cả thân thể được đánh thức. Khi bắt đầu lượt, ngẫu nhiên phát hiện một 「sáng tạo」 hoặc 「hỗ trợ」, tổng cộng phát hiện năm lần."
RelicConfig_67825_Name,aJDb,z造物_RelicConfig_A.csv,335,RelicConfig,Name,,<OrangeQuality:「万象门扉β」>,"<OrangeQuality:""Gateway of All Realms β"">",<OrangeQuality:《Врата Тысячи Образов β》>,<OrangeQuality:「Puerta del Infinito β」>,<OrangeQuality:「万象の扉β」>,<OrangeQuality:“만상문β”>,"<OrangeQuality: ""Porte de l'univers β"">",<OrangeQuality:「Mundator-Tür β」>,<OrangeQuality:「Portal dos Mil Aspectos β」>,<OrangeQuality:「ประตูแห่งสรรพสิ่งβ」>,<OrangeQuality:「Pintu Sepuluh Ribu Duniaβ」>,<OrangeQuality:「Cánh Cửa Đa Trạngβ」>
RelicConfig_67825_Desc,aJDa,z造物_RelicConfig_A.csv,335,RelicConfig,Desc,,战斗开始时，算力上限+1，觉醒所有唤醒体。回合开始时，随机发现一个「造物」或「支援」，共发现五次。,"At the start of battle, Arithmetica Limit +1, Rouse all Awakeners. At turn start, randomly discover a ""Relic "" or ""Support"", for a total of five discoveries.","Бой начинается, предел вычислительной мощности +1, пробуждение всех пробуждающих тел. В начале хода случайно обнаружить одно 《создание》 или 《поддержку》, всего обнаружить пять раз.","Al comenzar la batalla, el límite de aritmética +1, despierta a todos los despertadores. Al inicio de cada turno, descubre aleatoriamente una ""reliquia"" o ""apoyo"", por un total de cinco veces",バトル開始時、計算力上限＋1、すべての覚醒体を覚醒。ターン開始時、ランダムで「つくりもの」または「支援」を発見し、合計5回発見する。,"전투 시작 시, 산출력 상한 +1, 모든 웨이크업 바디를 각성. 턴 시작 시, “조물주” 또는 “지원” 중 하나를 무작위로 발견, 총 5번 발견.","Au début du combat, le plafond de l'arithmétique +1, réveillez tous les réveilleurs. Au début du tour, découvrez une « relique » ou « soutien » au hasard, découvrir un total de cinq fois","Zu Beginn des Kampfes erhöht sich das Arithmetica-Limit um 1, alle Erwecker werden erweckt. Zu Beginn der Runde findet zufällig 5 Mal einen ""Relikt"" oder ""Unterstützung""","Ao início da batalha, o limite de aritmética +1, desperte todos os despertadores. No início do turno, descubra aleatoriamente uma「reliquia」ou「apoio」, totalizando cinco descobertas",เมื่อการต่อสู้เริ่มต้น พลังการคำนวณสูงสุด +1 และการตื่นรู้ทั้งหมดของร่างกายที่ตื่นขึ้น เมื่อรอบเริ่มต้น จะได้รับการค้นพบแบบสุ่ม「สิ่งสร้าง」หรือ「การสนับสนุน」 รวมทั้งหมด 5 ครั้ง。,"Pada awal pertempuran, batas aritmetika +1, bangun semua pembangun. Pada awal giliran, temukan secara acak satu 「relik」 atau 「dukungan」, total ditemukan lima kali.","Khi bắt đầu chiến đấu, giới hạn sức tính toán +1, thức tỉnh tất cả thân thể được đánh thức. Khi bắt đầu lượt, ngẫu nhiên phát hiện một 「sáng tạo」 hoặc 「hỗ trợ」, tổng cộng phát hiện năm lần."
RelicConfig_67825_BattleDesc,aJCZ,z造物_RelicConfig_A.csv,335,RelicConfig,BattleDesc,,战斗开始时，算力上限+1，觉醒所有唤醒体。回合开始时，随机发现一个「造物」或「支援」，共发现五次。,"At the start of battle, Arithmetica Limit +1, Rouse all Awakeners. At turn start, randomly Discover a ""Relic"" or ""Support"", up to 5 times.","Бой начинается, предел вычислительной мощности +1, пробуждение всех пробуждающих тел. В начале хода случайно обнаружить одно 《создание》 или 《поддержку》, всего обнаружить пять раз.","Al comenzar la batalla, el límite de aritmética +1, despierta a todos los despertadores. Al inicio de cada turno, descubre aleatoriamente una ""reliquia"" o ""apoyo"", por un total de cinco veces",バトル開始時、計算力上限＋1、すべての覚醒体を覚醒。ターン開始時、ランダムで「つくりもの」または「支援」を発見し、合計5回発見する。,"전투 시작 시, 산출력 상한 +1, 모든 웨이크업 바디를 각성. 턴 시작 시, “조물주” 또는 “지원” 중 하나를 무작위로 발견, 총 5번 발견.","Au début du combat, le plafond de l'arithmétique +1, réveillez tous les réveilleurs. Au début du tour, découvrez une « relique » ou « soutien » au hasard, découvrir un total de cinq fois","Zu Beginn des Kampfes erhöht sich das Arithmetica-Limit um 1, alle Erwecker werden erweckt. Zu Beginn der Runde findet zufällig 5 Mal einen ""Relikt"" oder ""Unterstützung""","Ao início da batalha, o limite de aritmética +1, desperte todos os despertadores. No início do turno, descubra aleatoriamente uma「reliquia」ou「apoio」, totalizando cinco descobertas",เมื่อการต่อสู้เริ่มต้น พลังการคำนวณสูงสุด +1 และการตื่นรู้ทั้งหมดของร่างกายที่ตื่นขึ้น เมื่อรอบเริ่มต้น จะได้รับการค้นพบแบบสุ่ม「สิ่งสร้าง」หรือ「การสนับสนุน」 รวมทั้งหมด 5 ครั้ง。,"Pada awal pertempuran, batas aritmetika +1, bangun semua pembangun. Pada awal giliran, temukan secara acak satu 「relik」 atau 「dukungan」, total ditemukan lima kali.","Khi bắt đầu chiến đấu, giới hạn sức tính toán +1, thức tỉnh tất cả thân thể được đánh thức. Khi bắt đầu lượt, ngẫu nhiên phát hiện một 「sáng tạo」 hoặc 「hỗ trợ」, tổng cộng phát hiện năm lần."
RelicConfig_67821_Name,aJCL,z造物_RelicConfig_A.csv,336,RelicConfig,Name,,<OrangeQuality:「万象门扉γ」>,"<OrangeQuality:""Gateway of All Realms γ"">",<OrangeQuality:《Врата Тысячи Образов γ》>,<OrangeQuality:「Puerta del Infinito γ」>,<OrangeQuality:「万象の扉γ」>,<OrangeQuality:“만상문γ”>,<OrangeQuality:「Porte des mille phénomènes γ」>,<OrangeQuality:「Mundator-Tür γ」>,<OrangeQuality:「Portal dos Mil Aspectos γ」>,<OrangeQuality:「ประตูวานิชγ」>,<OrangeQuality:「Pintu γ」>,<OrangeQuality:「Cánh Cửa Vạn Tượng γ」>
RelicConfig_67821_Desc,aJCK,z造物_RelicConfig_A.csv,336,RelicConfig,Desc,,战斗开始时，算力上限+1，觉醒所有唤醒体。回合开始时，随机发现一个「造物」或「支援」，共发现五次。,"At the start of battle, Arithmetica Limit +1, Rouse all Awakeners. At turn start, randomly discover a ""Relic "" or ""Support"", for a total of five discoveries.","Бой начинается, предел вычислительной мощности +1, пробуждение всех пробуждающих тел. В начале хода случайно обнаружить одно 《создание》 или 《поддержку》, всего обнаружить пять раз.","Al comenzar la batalla, el límite de aritmética +1, despierta a todos los despertadores. Al inicio de cada turno, descubre aleatoriamente una ""reliquia"" o ""apoyo"", por un total de cinco veces",バトル開始時、計算力上限＋1、すべての覚醒体を覚醒。ターン開始時、ランダムで「つくりもの」または「支援」を発見し、合計5回発見する。,"전투 시작 시, 산출력 상한 +1, 모든 웨이크업 바디를 각성. 턴 시작 시, “조물주” 또는 “지원” 중 하나를 무작위로 발견, 총 5번 발견.","Au début du combat, le plafond de l'arithmétique +1, réveillez tous les réveilleurs. Au début du tour, découvrez une « relique » ou « soutien » au hasard, découvrir un total de cinq fois","Zu Beginn des Kampfes erhöht sich das Arithmetica-Limit um 1, alle Erwecker werden erweckt. Zu Beginn der Runde findet zufällig 5 Mal einen ""Relikt"" oder ""Unterstützung""","Ao início da batalha, o limite de aritmética +1, desperte todos os despertadores. No início do turno, descubra aleatoriamente uma「reliquia」ou「apoio」, totalizando cinco descobertas",เมื่อการต่อสู้เริ่มต้น พลังการคำนวณสูงสุด +1 และการตื่นรู้ทั้งหมดของร่างกายที่ตื่นขึ้น เมื่อรอบเริ่มต้น จะได้รับการค้นพบแบบสุ่ม「สิ่งสร้าง」หรือ「การสนับสนุน」 รวมทั้งหมด 5 ครั้ง。,"Pada awal pertempuran, batas aritmetika +1, bangun semua pembangun. Pada awal giliran, temukan secara acak satu 「relik」 atau 「dukungan」, total ditemukan lima kali.","Khi bắt đầu chiến đấu, giới hạn sức tính toán +1, thức tỉnh tất cả thân thể được đánh thức. Khi bắt đầu lượt, ngẫu nhiên phát hiện một 「sáng tạo」 hoặc 「hỗ trợ」, tổng cộng phát hiện năm lần."
RelicConfig_67821_BattleDesc,aJCJ,z造物_RelicConfig_A.csv,336,RelicConfig,BattleDesc,,战斗开始时，算力上限+1，觉醒所有唤醒体。回合开始时，随机发现一个「造物」或「支援」，共发现五次。,"At the start of battle, Arithmetica Limit +1, Rouse all Awakeners. At turn start, randomly Discover a ""Relic"" or ""Support"", up to 5 times.","Бой начинается, предел вычислительной мощности +1, пробуждение всех пробуждающих тел. В начале хода случайно обнаружить одно 《создание》 или 《поддержку》, всего обнаружить пять раз.","Al comenzar la batalla, el límite de aritmética +1, despierta a todos los despertadores. Al inicio de cada turno, descubre aleatoriamente una ""reliquia"" o ""apoyo"", por un total de cinco veces",バトル開始時、計算力上限＋1、すべての覚醒体を覚醒。ターン開始時、ランダムで「つくりもの」または「支援」を発見し、合計5回発見する。,"전투 시작 시, 산출력 상한 +1, 모든 웨이크업 바디를 각성. 턴 시작 시, “조물주” 또는 “지원” 중 하나를 무작위로 발견, 총 5번 발견.","Au début du combat, le plafond de l'arithmétique +1, réveillez tous les réveilleurs. Au début du tour, découvrez une « relique » ou « soutien » au hasard, découvrir un total de cinq fois","Zu Beginn des Kampfes erhöht sich das Arithmetica-Limit um 1, alle Erwecker werden erweckt. Zu Beginn der Runde findet zufällig 5 Mal einen ""Relikt"" oder ""Unterstützung""","Ao início da batalha, o limite de aritmética +1, desperte todos os despertadores. No início do turno, descubra aleatoriamente uma「reliquia」ou「apoio」, totalizando cinco descobertas",เมื่อการต่อสู้เริ่มต้น พลังการคำนวณสูงสุด +1 และการตื่นรู้ทั้งหมดของร่างกายที่ตื่นขึ้น เมื่อรอบเริ่มต้น จะได้รับการค้นพบแบบสุ่ม「สิ่งสร้าง」หรือ「การสนับสนุน」 รวมทั้งหมด 5 ครั้ง。,"Pada awal pertempuran, batas aritmetika +1, bangun semua pembangun. Pada awal giliran, temukan secara acak satu 「relik」 atau 「dukungan」, total ditemukan lima kali.","Khi bắt đầu chiến đấu, giới hạn sức tính toán +1, thức tỉnh tất cả thân thể được đánh thức. Khi bắt đầu lượt, ngẫu nhiên phát hiện một 「sáng tạo」 hoặc 「hỗ trợ」, tổng cộng phát hiện năm lần."
RelicConfig_67824_Name,aJCX,z造物_RelicConfig_A.csv,337,RelicConfig,Name,,<OrangeQuality:「万象门扉δ」>,"<OrangeQuality:""Gateway of All Realmsδ"">",<OrangeQuality:《Врата Тысячи Образов δ》>,<OrangeQuality:「Puerta del Infinito δ」>,<OrangeQuality:「万象の扉δ」>,<OrangeQuality:“만상문δ”>,<OrangeQuality:「Porte des mille phénomènes δ」>,<OrangeQuality:「Mundator-Tür δ」>,<OrangeQuality:「Portal dos Mil Aspectos δ」>,<OrangeQuality:「ประตูหมื่นอุปกรณ์δ」>,<OrangeQuality:「Pintuδ」>,<OrangeQuality:「Cánh cửa Vạn Tượng δ」>
RelicConfig_67824_Desc,aJCW,z造物_RelicConfig_A.csv,337,RelicConfig,Desc,,战斗开始时，算力上限+1，觉醒所有唤醒体。回合开始时，随机发现一个「造物」或「支援」，共发现五次。,"At the start of battle, Arithmetica Limit +1, Rouse all Awakeners. At turn start, randomly discover a ""Relic "" or ""Support"", for a total of five discoveries.","Бой начинается, предел вычислительной мощности +1, пробуждение всех пробуждающих тел. В начале хода случайно обнаружить одно 《создание》 или 《поддержку》, всего обнаружить пять раз.","Al comenzar la batalla, el límite de aritmética +1, despierta a todos los despertadores. Al inicio de cada turno, descubre aleatoriamente una ""reliquia"" o ""apoyo"", por un total de cinco veces",バトル開始時、計算力上限＋1、すべての覚醒体を覚醒。ターン開始時、ランダムで「つくりもの」または「支援」を発見し、合計5回発見する。,"전투 시작 시, 산출력 상한 +1, 모든 웨이크업 바디를 각성. 턴 시작 시, “조물주” 또는 “지원” 중 하나를 무작위로 발견, 총 5번 발견.","Au début du combat, le plafond de l'arithmétique +1, réveillez tous les réveilleurs. Au début du tour, découvrez une « relique » ou « soutien » au hasard, découvrir un total de cinq fois","Zu Beginn des Kampfes erhöht sich das Arithmetica-Limit um 1, alle Erwecker werden erweckt. Zu Beginn der Runde findet zufällig 5 Mal einen ""Relikt"" oder ""Unterstützung""","Ao início da batalha, o limite de aritmética +1, desperte todos os despertadores. No início do turno, descubra aleatoriamente uma「reliquia」ou「apoio」, totalizando cinco descobertas",เมื่อการต่อสู้เริ่มต้น พลังการคำนวณสูงสุด +1 และการตื่นรู้ทั้งหมดของร่างกายที่ตื่นขึ้น เมื่อรอบเริ่มต้น จะได้รับการค้นพบแบบสุ่ม「สิ่งสร้าง」หรือ「การสนับสนุน」 รวมทั้งหมด 5 ครั้ง。,"Pada awal pertempuran, batas aritmetika +1, bangun semua pembangun. Pada awal giliran, temukan secara acak satu 「relik」 atau 「dukungan」, total ditemukan lima kali.","Khi bắt đầu chiến đấu, giới hạn sức tính toán +1, thức tỉnh tất cả thân thể được đánh thức. Khi bắt đầu lượt, ngẫu nhiên phát hiện một 「sáng tạo」 hoặc 「hỗ trợ」, tổng cộng phát hiện năm lần."
RelicConfig_67824_BattleDesc,aJCV,z造物_RelicConfig_A.csv,337,RelicConfig,BattleDesc,,战斗开始时，算力上限+1，觉醒所有唤醒体。回合开始时，随机发现一个「造物」或「支援」，共发现五次。,"At the start of battle, Arithmetica Limit +1, Rouse all Awakeners. At turn start, randomly Discover a ""Relic"" or ""Support"", up to 5 times.","Бой начинается, предел вычислительной мощности +1, пробуждение всех пробуждающих тел. В начале хода случайно обнаружить одно 《создание》 или 《поддержку》, всего обнаружить пять раз.","Al comenzar la batalla, el límite de aritmética +1, despierta a todos los despertadores. Al inicio de cada turno, descubre aleatoriamente una ""reliquia"" o ""apoyo"", por un total de cinco veces",バトル開始時、計算力上限＋1、すべての覚醒体を覚醒。ターン開始時、ランダムで「つくりもの」または「支援」を発見し、合計5回発見する。,"전투 시작 시, 산출력 상한 +1, 모든 웨이크업 바디를 각성. 턴 시작 시, “조물주” 또는 “지원” 중 하나를 무작위로 발견, 총 5번 발견.","Au début du combat, le plafond de l'arithmétique +1, réveillez tous les réveilleurs. Au début du tour, découvrez une « relique » ou « soutien » au hasard, découvrir un total de cinq fois","Zu Beginn des Kampfes erhöht sich das Arithmetica-Limit um 1, alle Erwecker werden erweckt. Zu Beginn der Runde findet zufällig 5 Mal einen ""Relikt"" oder ""Unterstützung""","Ao início da batalha, o limite de aritmética +1, desperte todos os despertadores. No início do turno, descubra aleatoriamente uma「reliquia」ou「apoio」, totalizando cinco descobertas",เมื่อการต่อสู้เริ่มต้น พลังการคำนวณสูงสุด +1 และการตื่นรู้ทั้งหมดของร่างกายที่ตื่นขึ้น เมื่อรอบเริ่มต้น จะได้รับการค้นพบแบบสุ่ม「สิ่งสร้าง」หรือ「การสนับสนุน」 รวมทั้งหมด 5 ครั้ง。,"Pada awal pertempuran, batas aritmetika +1, bangun semua pembangun. Pada awal giliran, temukan secara acak satu 「relik」 atau 「dukungan」, total ditemukan lima kali.","Khi bắt đầu chiến đấu, giới hạn sức tính toán +1, thức tỉnh tất cả thân thể được đánh thức. Khi bắt đầu lượt, ngẫu nhiên phát hiện một 「sáng tạo」 hoặc 「hỗ trợ」, tổng cộng phát hiện năm lần."
